UID_01,BIOCHEMICAL,BIOCHEMICAL_NAME1,BIOCHEMICAL_NAME2,BIOCHEMICAL_NAME3,NCI_METABOLON_NAME1,NCI_METABOLON_NAME2,NCI_METABOLON_NAME3,ABC_BROAD_NAME,FENLAND_METABOLON_NAME,FENLAND_BIOCRATES_NAME,ARIC_BATCH1_METABOLON_NAME,ARIC_BATCH2_METABOLON_NAME,UCLEB_NMR_NAME,SHANGHAI_CHD_METABOLON_NAME,HCI_WCMC_NAME,HMDB_ID,HMDB_ID1,HMDB_ID2,CHEMICAL_ID,COMP_ID,PUBCHEM,CHEMSPIDER,CHEBI,INCHI,INCHIKEY,CAS,KEGG,SUPER_PATHWAY,SUB_PATHWAY,FLAG
HMDB01982,"3,7-dimethylurate","3,7-dimethylurate",,,_3_7_dimethylurate,,,,"3,7-dimethylurate",,,"3,7-dimethylurate",,,,HMDB01982,HMDB01982,,100001398,34399,83126,,,,,13087-49-5,C16360,XENOBIOTICS,XANTHINE METABOLISM,
HMDB13677_HMDB33752,3-(2-hydroxyphenyl)propionate,3-(2-hydroxyphenyl)propionate,,,_3__2_hydroxyphenyl_propionat,,,,,,,,,,,"HMDB13677,HMDB33752",HMDB13677,HMDB33752,100001623,35634,873,,,,,495-78-3,C01198,XENOBIOTICS,BENZOATE METABOLISM; CHEMICAL,"HMDB13677 is 3,5-dihydroxy benzoic acid, HMDB33752 is 3-(2-hydroxyphenyl)propionate"
HMDB00375,3-(3-hydroxyphenyl)propionate,3-(3-hydroxyphenyl)propionate,,,_3__3_hydroxyphenyl_propionat,,,,3-(3-hydroxyphenyl)propionate,,,3-(3-hydroxyphenyl)propionate,,3-(3-hydroxyphenyl)propionate,3-(3-hydroxyphenyl)propionic acid,HMDB00375,HMDB00375,,100001624,35635,91,,,"InChI=1S/C9H10O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-3,6,10H,4-5H2,(H,11,12)",QVWAEZJXDYOKEH-UHFFFAOYSA-N,621-54-5,C11457,AMINO ACID,PHENYLALANINE & TYROSINE METABOLISM,
HMDB00755,3-(4-hydroxyphenyl)lactate,3-(4-hydroxyphenyl)lactate,,,_3__4_hydroxyphenyl_lactate,,,,3-(4-hydroxyphenyl)lactate,,3-(4-hydroxyphenyl)lactate,3-(4-hydroxyphenyl)lactate,,3-(4-hydroxyphenyl)lactate,,HMDB00755,HMDB00755,,240,1431;32197,9378,,,,,6482-98-0,C03672,AMINO ACID,PHENYLALANINE & TYROSINE METABOLISM,
HMDB02199,3-(4-hydroxyphenyl)propionate,3-(4-hydroxyphenyl)propionate,,,_3__4_hydroxyphenyl_propionat,,,,3-(4-hydroxyphenyl)propionate,,,,,,,HMDB02199,HMDB02199,,100002914,39587,10394,,,,,501-97-3,C01744,AMINO ACID,PHENYLALANINE & TYROSINE METABOLISM,
CSID24822627,3-(Icosanoyloxy)-2-[(12E)-12-octadecenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate,3-(Icosanoyloxy)-2-[(12E)-12-octadecenoyloxy]prop,,,,,,,,PC aa C38:1,,,,,,,,,,,,24822627,,"InChI=1S/C46H90NO8P/c1-6-8-10-12-14-16-18-20-22-23-25-26-28-30-32-34-36-38-45(48)52-42-44(43-54-56(50,51)53-41-40-47(3,4)5)55-46(49)39-37-35-33-31-29-27-24-21-19-17-15-13-11-9-7-2/h15,17,44H,6-14,16,18-43H2,1-5H3/b17-15+",MYWBVGYMNLAPFN-BMRADRMJSA-N,,,,,
CHEM2048,3-(N-acetyl-L-cystein-S-yl) acetaminophen*,3-(N-acetyl-L-cystein-S-yl) acetaminophen*,,,_3__n_acetyl_l_cystein_s_yl_,,,,3-(N-acetyl-L-cystein-S-yl) acetaminophen,,,3-(N-acetyl-L-cystein-S-yl) acetaminophen,,,,,,,2048,18299;45721,83967,,,,,52372-86-8,,XENOBIOTICS,DRUG,
CHEM100001797,3-(cystein-S-yl)acetaminophen*,3-(cystein-S-yl)acetaminophen*,,,_3__cystein_s_yl_acetaminophe,,,,3-(cystein-S-yl)acetaminophen*,,3-(cystein-S-yl)acetaminophen*,3-(cystein-S-yl)acetaminophen*,,,,,,,100001797,34365,5233914,,,,,,,XENOBIOTICS,DRUG,
HMDB13333,3-Hydroxy-9-hexadecenoylcarnitine (Hydroxyhexadecenoyl-L-carnitine),3-Hydroxy-9-hexadecenoylcarnitine,Hydroxyhexadecenoyl-L-carnitine,,,,,,,Hydroxyhexadecenoylcarnitine,,,,,,HMDB13333,HMDB13333,,,,53481685,,,,,,,,,
CSID664130,3-Nitro-D-tyrosine,3-Nitro-D-tyrosine,,,,,,,,Nitrotyrosine,,,,,,,,,,,,664130,,"InChI=1S/C9H10N2O5/c10-6(9(13)14)3-5-1-2-8(12)7(4-5)11(15)16/h1-2,4,6,12H,3,10H2,(H,13,14)/t6-/m1/s1",FBTSQILOGYXGMD-ZCFIWIBFSA-N,,,,,
CSID24822657,"3-[(5Z,8Z,11Z,14Z)-5,8,11,14-Icosatetraenoyloxy]-2-[(9Z,12Z)-9,12-octadecadienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","3-[(5Z,8Z,11Z,14Z)-5,8,11,14-Icosatetraenoyloxy]-",,,,,,,,PC aa C38:6,,,,,,,,,,,,24822657,,"InChI=1S/C46H80NO8P/c1-6-8-10-12-14-16-18-20-22-23-25-26-28-30-32-34-36-38-45(48)52-42-44(43-54-56(50,51)53-41-40-47(3,4)5)55-46(49)39-37-35-33-31-29-27-24-21-19-17-15-13-11-9-7-2/h14-17,20-22,24-26,30,32,44H,6-13,18-19,23,27-29,31,33-43H2,1-5H3/b16-14-,17-15-,22-20-,24-21-,26-25-,32-30-",PLZBTDKJYHXIEW-LVWWVXEJSA-N,,,,,
CSID24822409,"3-[(9Z)-9-Hexadecenoyloxy]-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","3-[(9Z)-9-Hexadecenoyloxy]-2-[(5Z,8Z,11Z,14Z)-5,8",,,,,,,,PC aa C36:5,,,,,,,,,,,,24822409,,"InChI=1S/C44H78NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h14,16-17,19-21,23,25,29,31,42H,6-13,15,18,22,24,26-28,30,32-41H2,1-5H3/b16-14-,19-17-,21-20-,25-23-,31-29-",DYDDZDMJSQYFGN-XUVYOPCWSA-N,,,,,
CSID24822407,"3-[(9Z)-9-Hexadecenoyloxy]-2-[(9Z,12Z)-9,12-octadecadienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","3-[(9Z)-9-Hexadecenoyloxy]-2-[(9Z,12Z)-9,12-octad",,,,,,,,PC aa C34:3,,,,,,,,,,,,24822407,,"InChI=1S/C42H78NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h14,16-17,19-21,40H,6-13,15,18,22-39H2,1-5H3/b16-14-,19-17-,21-20-",QJWDAOSZZYVBJZ-BOAYSYCPSA-N,,,,,
CHEM100005391,3-[3-(sulfooxy)phenyl]propanoic acid or 3-(3-hydroxyphenyl)propionate sulfate,3-[3-(sulfooxy)phenyl]propanoic acid,3-(3-hydroxyphenyl)propionate sulfate,,_3__3__sulfooxy_phenyl_propan,_3__3_hydroxyphenyl_prop_sulf,,,3-[3-(sulfooxy)phenyl]propanoic acid,,,3-[3-(sulfooxy)phenyl]propanoic acid,,,,,,,100005391,45415,187488,,,,,86321-32-6,,AMINO ACID,PHENYLALANINE & TYROSINE METABOLISM,
CHEM100004326,3-acetylphenol sulfate,3-acetylphenol sulfate,,,_3_acetylphenol_sulfate,,,,,,,,,,,,,,100004326,48693,,,,,,,,XENOBIOTICS,CHEMICAL,
HMDB03911,3-aminoisobutyrate,3-aminoisobutyrate,,,_3_aminoisobutyrate,,,,3-aminoisobutyrate,,,,,,3-aminoisobutyric acid,HMDB03911,HMDB03911,,1114,1566;42558,64956,,,"InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)",QCHPKSFMDHPSNR-UHFFFAOYSA-N,10569-72-9;214139-20-5,C05145,NUCLEOTIDE,"PYRIMIDINE METABOLISM, THYMINE CONTAINING; VALINE, LEUCINE AND ISOLEUCINE METABOLISM",
HMDB61112,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CM,,,cmpf,,,,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),,HMDB61112,HMDB61112,,100001178,31787,123979,,,,,86879-39-2,,LIPID,"FATTY ACID, DICARBOXYLATE",
HMDB12154,3-dehydrocarnitine*,3-dehydrocarnitine*,,,_3_dehydrocarnitine,,,,,,3-dehydrocarnitine*,,,3-dehydrocarnitine*,,HMDB12154,HMDB12154,,100001508,32654,6991982,,,,,10457-99-5,C02636,LIPID,CARNITINE METABOLISM,
